	VC10-Ctrl_S1.bam	VC11-Ctrl_S3.bam	VC35B-Ctrl_S5.bam	VC35C-Ctrl_S7.bam	VC10-VC_S2.bam	VC11-VC_S4.bam	VC35B-VC_S6.bam	VC35C-VC_S8.bam
Msra	82	63	64	76	76	75	34	61
Kif13b	573	418	299	470	469	465	228	307
Hmbox1	302	236	180	283	305	281	134	197
Ints9	431	386	270	444	424	416	229	332
Extl3	435	427	304	475	405	416	217	258
Fzd3	13	10	15	19	10	6	9	12
Fbxo16	2	0	1	4	0	2	0	4
Zfp395	141	110	83	177	119	113	72	98
Pnoc	0	0	0	0	0	0	0	1
Elp3	959	836	767	1147	916	965	565	857
Gm600	4	5	2	4	10	5	4	2
Scara5	28	39	18	15	43	51	13	20
Pbk	202	176	170	247	196	219	112	205
Esco2	1056	948	1051	1654	971	1064	725	1169
Ccdc25	320	246	215	438	261	300	193	273
Scara3	0	0	0	0	0	0	0	0
Clu	24	11	13	16	26	28	13	15
Gulo	6	4	7	4	2	4	2	4
Adam2	0	0	0	0	0	0	0	0
Gm10233	248	217	253	433	198	263	189	290
Ephx2	1292	1135	916	1270	1258	1273	731	983
Chrna2	0	0	0	0	0	0	0	0
Ptk2b	78	70	51	89	70	79	43	61
1700001G11Rik	1	0	1	0	0	0	0	1
Trim35	451	399	319	381	428	410	231	279
Stmn4	0	0	0	0	0	0	0	0
Adra1a	0	1	0	1	0	1	0	0
Gm10032	0	0	0	0	0	0	0	0
Dpysl2	193	182	195	250	177	210	150	221
Gm5464	1	4	1	3	0	0	0	3
Pnma2	149	102	143	239	87	100	81	143
4930578I07Rik	0	0	0	0	0	0	0	0
Bnip3l	370	317	333	537	310	329	214	351
Ppp2r2a	756	660	504	819	708	776	426	578
Gm20675	0	0	0	0	0	0	0	0
Ebf2	0	0	0	0	0	1	0	0
Gm6878	0	0	0	0	0	0	0	0
1700120O09Rik	0	0	0	0	0	0	0	0
4930438E09Rik	0	0	0	0	0	0	0	0
Gm10860	0	0	0	0	0	0	0	0
Gm20667	27	22	37	45	32	27	24	31
Cdca2	700	627	628	915	569	662	464	702
Kctd9	154	146	146	190	133	143	90	142
Gnrh1	0	1	0	0	0	0	0	0
Dock5	476	421	419	619	383	462	307	486
Nefm	115	127	25	43	163	259	33	45
Nefl	609	610	388	486	907	1026	369	519
Adam7	0	0	0	0	0	0	0	0
Adamdec1	0	0	0	0	0	0	0	0
Adam28	0	0	0	0	0	0	0	0
Stc1	0	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0	0
Nkx2-6	0	0	0	0	0	0	0	0
Nkx3-1	0	2	0	1	0	0	0	0
Slc25a37	55	53	42	67	62	62	63	67
Synb	0	0	0	0	0	0	0	0
AC134575.1	49	49	45	68	41	57	45	56
AC242398.1	0	0	2	3	2	1	0	2
AC214054.1	2	3	0	3	2	0	0	2
Entpd4	38	40	32	42	40	37	37	45
AC214054.2	6	3	1	3	4	2	2	3
Loxl2	2	2	8	8	0	6	3	3
R3hcc1	195	141	140	214	167	170	118	144
Chmp7	434	369	302	440	453	473	236	354
Tnfrsf10b	257	258	169	243	272	270	112	191
Rhobtb2	240	193	161	269	285	331	142	234
Pebp4	0	0	0	0	0	0	0	0
Egr3	0	0	0	0	0	0	0	0
Bin3	92	71	71	105	78	87	51	54
2610301G19Rik	471	429	366	502	474	513	285	364
9930012K11Rik	20	22	21	50	19	12	17	21
Pdlim2	1	0	0	0	0	0	1	0
Sorbs3	1	1	1	3	2	2	2	3
Ppp3cc	2	3	0	3	4	0	1	1
Slc39a14	267	195	254	227	238	288	198	230
Gm9174	30	20	24	40	30	27	13	25
Piwil2	66	31	31	36	95	62	27	49
Polr3d	234	185	148	225	171	182	118	160
Phyhip	23	22	17	22	18	22	17	20
Bmp1	3	0	1	3	0	0	0	3
Sftpc	0	0	0	0	0	0	0	0
Lgi3	0	0	0	0	0	0	0	0
Reep4	175	141	148	184	118	121	104	129
Hr	22	20	10	27	10	11	4	12
Nudt18	12	14	8	16	16	7	2	5
Fam160b2	177	135	117	156	154	162	91	123
Epb4.9	521	483	511	715	378	508	320	493
Fgf17	12	10	26	43	2	8	20	16
Npm2	0	0	0	1	2	0	0	0
Xpo7	1099	938	911	1326	997	1052	662	900
Dok2	9	6	16	17	5	12	8	9
Gfra2	44	22	42	34	32	22	14	31
Fndc3a	570	466	375	513	567	574	292	423
Gm16549	3	0	0	0	5	0	0	5
Cysltr2	13	4	5	4	19	22	11	16
Rcbtb2	140	111	80	117	136	131	83	114
Gm17233	4	5	1	3	3	3	3	1
Rb1	112	103	52	66	120	107	22	47
Lpar6	85	44	49	52	57	52	37	47
Itm2b	573	385	304	454	474	461	219	276
Med4	203	181	132	264	185	222	106	149
Nudt15	29	28	22	35	32	46	22	22
Sucla2	520	372	261	579	523	504	245	478
AC155246.1	0	0	0	0	0	0	0	0
Gm16409	828	565	491	946	677	675	380	610
Gm6984	795	694	697	1209	668	664	486	688
Htr2a	0	0	0	0	0	0	0	0
Esd	131	122	104	173	116	106	68	125
Lrch1	171	136	123	161	139	159	91	149
5031414D18Rik	0	0	0	0	0	0	1	0
Lrrc63	0	0	0	0	0	0	0	0
Lcp1	18	9	6	9	25	32	11	8
Gm15628	0	0	0	0	0	0	0	0
Gm15629	0	0	0	0	0	0	0	0
Cpb2	0	0	0	0	0	0	0	0
Zc3h13	622	539	352	544	526	615	333	391
Siah3	0	0	0	0	0	0	0	0
Spert	0	0	0	0	0	0	0	0
4930564B18Rik	0	0	0	0	0	0	0	0
Cog3	299	285	239	390	275	300	191	264
Slc25a30	122	77	86	118	97	105	70	84
Gm4285	0	2	2	0	1	1	2	0
Tpt1	2848	2308	1842	3355	2610	2638	1332	2150
Gtf2f2	254	167	180	295	166	171	123	157
Kctd4	0	0	0	0	0	0	0	0
1200011I18Rik	367	318	264	427	327	355	195	292
Nufip1	429	411	390	622	342	398	285	438
Rps2-ps6	574	447	494	777	506	500	333	523
Tsc22d1	1733	1413	1408	2139	1683	1729	1051	1535
Serp2	0	1	1	1	0	1	3	1
9030625A04Rik	13	6	8	10	1	4	4	4
Ccdc122	0	1	3	1	2	1	1	1
Enox1	346	270	366	487	288	326	271	307
Gm10132	1175	839	647	1292	954	965	511	807
Gm6994	0	0	0	0	0	0	0	0
Gm1587	0	0	0	0	0	0	0	0
Dnajc15	143	124	135	242	117	120	96	145
Epsti1	0	0	0	0	0	0	0	0
Gm19301	0	0	0	0	0	0	0	0
AU021034	0	0	0	0	0	0	0	0
Tnfsf11	0	2	1	0	1	0	0	0
Akap11	733	696	544	813	651	675	366	478
Dgkh	55	63	77	130	39	47	36	88
1300010F03Rik	273	268	169	241	271	284	145	210
Zfp957	0	0	0	1	0	0	0	0
1190002H23Rik	0	0	0	0	5	1	0	0
Naa16	220	220	194	328	192	211	146	192
Mtrf1	34	27	35	58	49	40	23	40
Kbtbd7	132	91	86	101	114	121	73	62
Gm5465	37	36	28	51	41	47	29	37
Wbp4	238	186	149	303	214	219	132	195
Elf1	173	144	84	107	151	172	54	67
Sugt1	871	756	687	1237	596	678	517	793
Lect1	0	0	0	0	0	0	0	0
Pcdh8	5	7	0	5	10	8	5	3
Gm10845	0	0	0	0	0	0	0	0
Olfm4	0	1	0	0	0	0	0	0
Pcdh17	5	7	0	2	5	9	3	1
Diap3	368	335	243	384	382	457	188	327
Tdrd3	196	162	92	128	339	361	133	162
Gm10119	2958	2364	2260	3862	2741	2603	1628	2570
Pcdh20	0	0	0	0	0	0	0	0
Gm10110	1062	916	713	1008	993	1031	556	766
Pcdh9	0	0	0	0	0	0	0	0
4921530L21Rik	0	0	0	0	0	0	0	0
Klhl1	0	0	0	0	0	0	0	0
Dach1	0	1	1	0	0	0	0	0
Rpl36a-ps1	494	350	245	565	351	367	148	314
Mzt1	303	267	290	429	275	332	206	289
6720463M24Rik	231	201	233	276	191	233	168	232
Dis3	923	845	742	1112	775	872	534	782
Pibf1	140	93	72	84	130	128	59	79
Klf5	1232	1103	751	1266	1202	1435	663	934
Klf12	39	29	28	32	53	32	29	24
4930517O19Rik	0	0	0	0	0	0	0	0
1700110M21Rik	0	0	0	0	0	0	0	0
Tbc1d4	71	45	28	30	65	52	20	36
Commd6	90	85	73	99	75	79	45	60
Uchl3	183	154	187	297	155	163	110	158
Gm9922	0	0	0	0	0	0	0	0
Lmo7	203	165	75	113	178	212	46	78
Irg1	0	0	0	0	0	0	0	0
Cln5	392	284	216	336	412	382	185	259
Fbxl3	420	345	287	384	411	405	216	305
Mycbp2	636	556	362	476	597	742	270	342
Scel	0	0	0	0	0	0	0	0
Slain1	53	48	51	91	50	29	29	44
4921525B02Rik	0	0	0	0	0	0	0	0
Ednrb	0	0	0	0	0	0	0	0
Pou4f1	38	34	26	48	38	38	19	23
Rnf219	72	55	52	104	44	45	31	45
Rbm26	971	927	852	1107	962	1133	584	796
Gm17066	100	105	96	115	123	129	66	77
Ndfip2	173	120	125	171	138	138	89	126
4930449E01Rik	0	0	0	0	0	0	1	0
Gm10076	1469	990	972	1956	1094	1127	731	1184
Spry2	685	544	467	606	753	835	454	495
Gm4775	0	0	0	0	0	0	0	0
Trim52	0	1	0	0	6	1	1	1
Rpl27a-ps2	0	0	0	0	1	0	0	0
Slitrk1	0	0	0	0	0	0	0	0
Slitrk6	0	0	0	0	0	0	0	0
Slitrk5	14	12	12	19	4	19	1	8
Gm4822	0	0	0	0	0	0	0	0
Tpm3-rs7	1745	1364	953	1519	1254	1473	714	1027
Mir17hg	339	262	310	333	256	294	162	252
Gpc5	5	1	0	2	3	1	3	0
4930505G20Rik	0	0	0	0	0	0	0	0
Gm20713	0	0	0	0	0	0	0	0
Gpc6	47	31	27	31	57	51	26	33
Dct	0	0	0	0	0	0	0	0
Tgds	106	75	69	117	82	88	50	78
Gpr180	109	87	92	155	99	95	58	100
Sox21	228	258	103	153	238	282	70	103
Gm4675	5	5	2	5	4	6	6	4
Gm9376	17	8	1	9	9	11	5	4
Abcc4	773	716	661	798	834	924	565	735
Cldn10	0	0	0	0	0	0	0	0
Dzip1	147	135	104	148	105	104	65	113
Dnajc3	150	169	174	284	130	109	97	158
Uggt2	0	0	0	5	0	5	0	1
Gm16835	0	0	0	0	0	0	0	0
Hs6st3	0	0	0	0	0	0	0	0
Oxgr1	0	0	0	0	0	0	0	0
Mbnl2	91	73	51	86	100	100	24	67
Rap2a	159	136	110	192	131	149	85	134
Gm17613	0	0	0	0	0	0	0	0
Ipo5	4031	3660	3922	6209	3860	4075	2942	4214
Farp1	118	100	60	90	133	125	39	53
B930095G15Rik	0	1	2	1	1	2	1	0
Stk24	701	630	408	604	735	733	318	382
Slc15a1	22	36	27	36	21	20	8	21
Dock9	296	230	186	266	306	332	130	163
Ubac2	351	283	290	402	313	308	214	298
Gpr18	0	0	0	0	0	0	0	0
Gpr183	0	0	0	0	0	0	0	0
Timm8a2	61	49	47	82	40	59	48	61
A330035P11Rik	9	12	5	9	2	12	5	5
Tm9sf2	1279	1082	1068	1450	1161	1208	740	1034
Clybl	127	103	101	177	109	111	78	167
Gm5089	0	0	0	0	0	0	0	0
Zic5	148	170	144	213	129	139	104	133
2610035F20Rik	0	0	0	3	2	2	0	1
Zic2	489	506	427	507	371	412	282	342
Gm10837	0	0	1	0	0	0	0	0
Pcca	154	135	120	199	171	153	89	140
A2ld1	52	53	38	52	34	36	19	20
4930594M22Rik	0	0	0	1	1	0	0	1
Tmtc4	146	130	115	146	166	168	78	126
Gm15735	0	0	0	0	0	0	0	0
Nalcn	1	1	1	1	2	1	1	0
Itgbl1	0	0	0	0	0	0	0	0
Fgf14	0	0	0	0	0	0	0	0
Gm17615	0	0	0	0	0	1	0	0
Sepp1	44	29	16	28	56	36	13	16
Ccdc152	1	0	0	0	1	0	0	0
Ghr	9	8	2	2	11	5	1	3
Fbxo4	8	6	7	8	19	16	6	13
AW549877	921	744	613	751	974	877	482	618
BC037032	3	1	1	2	2	5	0	0
Oxct1	1708	1332	782	1358	1824	1641	645	1078
Gm15632	0	0	0	0	0	0	0	0
Plcxd3	2	3	2	1	7	10	2	2
C6	0	0	0	0	0	0	0	0
Heatr7b2	0	0	0	0	0	0	0	0
C7	0	0	0	0	1	0	0	2
Card6	42	31	19	21	27	33	13	10
Rpl37	1409	968	790	1612	1086	1127	562	919
Gm10250	451	369	344	631	328	338	258	445
Prkaa1	406	374	320	466	396	383	225	376
Gm15938	0	0	0	0	0	0	0	0
Ttc33	178	136	159	214	183	163	94	126
Ptger4	22	16	10	11	14	9	10	11
Dab2	8	11	0	3	14	14	0	0
Gm16311	0	0	0	0	0	0	0	0
C9	0	0	0	0	0	0	0	0
Fyb	264	254	278	433	236	260	193	287
Gm2245	5	2	11	4	4	7	6	6
Rictor	769	664	466	611	772	780	319	422
Osmr	0	1	0	0	0	3	0	2
Lifr	1897	1653	1315	1767	1609	1932	990	1311
Egflam	0	0	0	0	0	1	1	0
Gm16029	0	0	0	0	0	0	0	0
Gdnf	0	0	0	0	0	0	0	0
Wdr70	177	128	94	172	148	182	56	135
Nup155	2616	2240	1893	2680	2526	2459	1340	1883
2410089E03Rik	729	600	357	508	747	870	348	437
Nipbl	1437	1191	886	1379	1280	1431	670	961
AC132833.1	0	0	0	0	0	0	0	0
Gm2348	2	1	3	6	3	2	0	1
Slc1a3	38	34	28	46	44	36	22	40
Ranbp3l	0	0	0	0	0	0	0	0
1110020G09Rik	746	614	424	747	787	615	362	543
Skp2	595	538	432	569	614	567	294	466
Lmbrd2	209	183	142	216	271	253	115	154
Ugt3a1	0	0	0	0	0	0	0	0
Ugt3a2	0	0	0	0	0	2	0	0
Capsl	101	67	32	56	80	86	32	53
Il7r	0	0	0	0	0	0	0	0
Spef2	4	7	1	14	5	3	5	7
Prlr	77	72	73	79	76	103	44	59
RP23-74N15.4	0	1	1	1	0	1	0	1
Agxt2	0	0	0	0	0	0	0	0
Dnajc21	968	802	586	1079	752	894	575	833
Brix1	1230	948	847	1353	947	1018	588	876
Rad1	293	259	244	355	249	234	145	240
Ttc23l	0	0	0	0	0	0	0	0
Rai14	1539	1225	797	1206	1517	1327	685	893
C1qtnf3	0	0	0	0	10	3	3	0
Amacr	161	123	97	135	178	188	90	101
Slc45a2	1	0	0	0	5	2	0	0
Rxfp3	0	0	0	0	0	0	0	0
Adamts12	0	0	0	0	0	0	0	0
Tars	2483	2020	1936	3407	2151	2351	1496	2311
Npr3	39	39	16	31	23	19	10	17
Sub1	1422	1139	1070	1768	1170	1153	758	1143
Zfr	1231	1024	791	1205	1107	1105	637	817
Mtmr12	659	589	490	768	514	640	383	528
Golph3	929	765	594	869	953	837	448	560
Pdzd2	70	66	61	78	67	54	35	60
Gm2606	936	777	682	1099	786	896	484	716
6030458C11Rik	540	454	373	529	512	540	304	400
Drosha	3348	2696	1845	2569	2949	3285	1528	1925
Cdh6	3	1	0	0	6	2	0	0
AC122774.1	0	0	0	0	0	0	0	0
Cdh9	4	7	4	13	8	3	3	7
C030047K22Rik	0	0	0	0	0	0	0	0
Cdh10	7	5	2	11	3	3	4	0
Acot10	250	226	206	346	195	231	153	239
Cdh12	0	0	0	0	0	0	0	0
Cdh18	0	0	0	0	0	0	2	0
9230109A22Rik	0	0	0	0	0	0	0	0
Basp1	56	44	55	96	32	37	40	46
Gm5468	0	0	0	0	0	0	0	0
Myo10	4832	4181	2713	4254	4066	4923	2317	3103
Fam134b	121	109	82	132	115	105	71	89
Zfp622	660	508	439	799	573	601	362	531
Mar-11	9	15	18	34	5	10	19	16
Fbxl7	1	0	5	0	0	5	0	1
Gm6576	444	350	312	559	336	428	219	338
Ank	88	74	87	152	80	95	61	102
Fam105b	166	131	142	228	155	151	101	124
Fam105a	0	0	0	0	0	2	0	0
Trio	344	227	179	213	348	336	123	139
Dnahc5	4	4	1	1	5	10	0	1
Ctnnd2	381	330	100	146	367	410	98	110
Dap	69	44	26	40	72	70	15	28
Fam136b-ps	0	0	0	2	1	0	1	1
Ankrd33b	107	59	71	74	97	104	46	58
Ropn1l	3	1	0	1	0	0	0	1
Mar-06	793	676	652	904	718	787	457	636
Cmbl	2	0	1	2	3	3	0	0
Cct5	5123	3989	3955	6685	4337	4407	2872	4218
Fam173b	30	19	9	32	27	31	22	19
Tas2r119	0	0	0	0	0	0	0	0
Sema5a	4	4	1	3	0	2	2	3
Sdc2	22	21	13	31	12	14	10	16
Pgcp	0	0	0	0	0	0	0	0
1700084J12Rik	10	7	4	8	8	8	5	3
Tspyl5	18	12	13	29	27	22	20	18
Mtdh	1562	1367	1249	1846	1667	1597	922	1254
Laptm4b	495	382	377	536	468	355	239	351
Matn2	14	9	5	13	15	11	5	6
9430069I07Rik	1	2	4	3	3	2	1	1
Rpl30	503	434	385	495	469	512	255	324
BC030476	0	0	0	0	0	0	0	0
Hrsp12	111	103	84	154	102	114	59	80
Pop1	464	420	356	638	339	395	213	281
Nipal2	0	1	2	3	0	1	0	0
Kcns2	4	0	0	1	8	5	0	1
Stk3	181	149	138	246	159	168	109	174
Osr2	2	0	4	2	1	2	2	3
Vps13b	658	561	428	591	635	769	327	452
Cox6c	632	495	463	751	483	527	319	494
Rgs22	1	1	4	7	3	7	1	5
Fbxo43	0	2	0	0	0	0	0	1
Polr2k	18	17	16	35	14	15	11	11
Spag1	35	22	19	32	45	33	14	25
Rnf19a	159	155	121	195	197	167	78	128
Rpl7a-ps3	166	136	151	243	147	156	102	159
Ankrd46	316	226	214	350	264	213	166	227
Snx31	8	3	2	6	7	4	6	6
Pabpc1	21053	17011	9766	14393	20305	20550	7641	10286
Ywhaz	4312	3506	2718	4008	4096	4198	2202	2919
Gm10384	0	0	0	0	0	0	0	0
Zfp706	1933	1662	1347	1977	1641	1808	1001	1433
Gm16136	0	0	0	0	0	0	0	0
Grhl2	72	44	18	33	114	93	23	28
Gm16137	0	0	0	0	0	0	0	0
Ncald	0	0	0	0	0	0	0	0
Gm15941	0	0	0	0	0	0	0	0
4930447A16Rik	0	0	0	0	0	0	0	0
Gm15942	0	0	0	0	0	0	0	0
Gm15940	0	0	0	0	0	0	0	0
Rrm2b	33	22	30	41	26	30	19	32
Ubr5	8368	7885	6112	8707	7446	9476	4976	6486
Odf1	0	0	0	0	0	0	0	0
Klf10	422	416	430	717	362	382	305	466
Azin1	1008	798	895	1496	886	823	644	1034
Atp6v1c1	631	507	439	694	576	567	341	462
Baalc	0	0	0	0	0	0	0	0
Fzd6	30	27	35	25	30	19	9	12
Cthrc1	0	0	2	0	1	0	0	0
Slc25a32	151	134	118	190	142	132	71	134
Dcaf13	649	536	433	842	556	590	332	557
Rims2	114	93	67	120	138	132	54	94
Dcstamp	23	15	13	21	22	22	8	15
Dpys	131	105	86	122	115	113	68	87
Gm16291	0	0	0	0	0	0	0	0
Lrp12	133	123	100	139	137	154	71	111
AC152394.2	0	0	0	0	0	0	0	0
Gm16294	0	0	0	0	0	0	0	0
Zfpm2	76	52	15	23	70	86	9	17
4930555K19Rik	0	0	0	0	0	0	0	0
Oxr1	568	457	381	581	568	566	301	445
Abra	0	0	0	0	0	0	0	0
Angpt1	3	3	0	1	0	2	0	0
Rspo2	0	0	0	0	1	0	0	0
Eif3e	1302	999	995	1728	1181	1133	684	1147
Gm10373	0	0	0	0	0	0	0	0
Ttc35	294	234	223	362	293	313	181	305
Tmem74	0	0	0	3	1	1	0	2
Trhr	0	0	0	0	0	0	0	0
Nudcd1	498	379	311	529	377	365	231	358
Eny2	344	235	180	319	277	254	137	199
Pkhd1l1	0	0	0	0	0	0	0	0
Ebag9	112	76	62	107	69	85	41	61
Sybu	0	4	1	0	0	0	0	0
Gm5471	13	8	9	13	12	10	4	8
Kcnv1	1	1	0	1	6	1	1	1
AC125523.1	142	124	102	154	116	133	74	130
4930548G14Rik	0	0	0	0	0	0	0	0
Csmd3	0	0	0	0	0	0	0	0
Trps1	444	381	346	497	380	426	241	306
Eif3h	1371	1039	787	1354	1249	1207	599	951
Utp23	144	128	73	138	159	120	58	99
Rad21	2327	2168	1636	2335	2122	2165	1179	1598
Aard	11	3	15	19	10	7	14	22
Slc30a8	0	0	0	0	0	0	0	0
Gm10020	815	670	621	1080	648	705	438	720
Med30	144	110	102	201	111	112	87	112
Ext1	390	280	265	382	327	383	196	278
Samd12	5	2	0	4	3	1	0	0
Gm7489	0	0	0	0	0	0	0	0
Tnfrsf11b	0	0	0	0	0	0	0	0
Gm5215	0	0	0	0	0	0	0	0
Colec10	0	0	0	0	0	0	0	0
Mal2	1	0	4	0	0	3	0	0
Nov	4	2	7	1	0	2	0	0
Enpp2	2	0	1	1	1	1	3	0
Taf2	719	681	488	686	685	699	376	538
Dscc1	108	84	101	141	97	104	73	111
Gm9920	5	0	0	1	5	0	1	0
Deptor	726	498	348	512	681	662	235	356
Col14a1	1	1	0	0	3	2	1	0
Mrpl13	409	299	301	523	304	341	230	302
Mtbp	268	235	236	380	275	293	218	301
Sntb1	65	67	47	59	82	103	46	59
Has2	19	10	7	18	12	9	4	7
Has2as	2	0	0	0	1	1	0	0
Slc22a22	0	0	0	0	0	0	0	0
Zhx2	13	11	9	5	10	12	4	3
Gm16006	0	0	0	0	0	0	0	0
9330154K18Rik	0	0	0	0	0	0	0	0
Derl1	516	390	398	586	479	418	254	378
Wdr67	290	223	149	281	220	224	127	185
Fam83a	0	1	1	2	1	0	0	0
9130401M01Rik	330	263	288	424	264	296	177	263
Zhx1	216	183	120	185	194	141	66	92
Atad2	2010	1644	1327	2123	1687	1775	1036	1404
Wdyhv1	90	82	64	113	81	95	52	77
Fbxo32	0	0	2	4	2	2	5	1
Gm15943	0	0	0	0	0	0	0	0
Klhl38	0	0	0	0	0	1	0	0
Anxa13	0	0	0	0	0	0	0	0
D15Ertd621e	1530	1276	987	1382	1342	1290	706	879
Fer1l6	0	0	0	0	0	0	0	0
Gm20712	2	2	7	3	4	4	0	1
Tmem65	190	159	181	222	226	152	109	175
Gm5959	0	0	0	0	0	0	0	0
Trmt12	69	73	68	79	81	85	42	60
Rnf139	364	262	244	373	298	282	157	249
Tatdn1	48	40	38	63	52	70	33	41
Ndufb9	824	547	512	995	604	666	386	668
Mtss1	1678	1445	1015	1300	1559	1721	892	1195
Gm5045	589	480	429	798	509	470	336	512
Sqle	1363	1185	1211	1936	1028	1182	1002	1502
E430025E21Rik	1800	1534	1170	1612	1840	1850	923	1182
Nsmce2	347	248	224	315	292	297	146	221
Trib1	100	79	77	103	92	106	44	68
AC158122.1	1	0	0	1	0	1	0	0
Gm7713	0	0	0	0	0	0	0	0
4933412E24Rik	0	0	0	0	0	0	0	0
Fam84b	350	218	180	261	337	286	109	144
A1bg	0	0	0	0	0	0	0	0
Myc	81	55	65	132	65	80	67	71
AC101527.1	16	13	9	24	12	11	5	11
Gsdmc	0	0	0	0	0	0	0	0
AC140673.1	0	0	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0	0	0
Gsdmcl1	0	0	0	0	0	0	0	0
Gsdmc3	0	0	0	0	0	0	0	0
Gsdmc4	0	0	0	0	0	0	0	0
Fam49b	1285	1165	923	1392	1174	1207	620	988
Asap1	676	453	261	383	608	612	163	236
Gm20717	0	0	0	0	0	0	0	0
Adcy8	0	0	0	0	0	0	0	0
AC116996.1	0	0	0	0	0	0	0	0
Gm11035	0	0	0	0	0	0	0	0
Gm5046	0	0	0	0	0	0	0	0
Efr3a	1418	1156	957	1346	1467	1440	689	1063
Gm20405	2	0	1	1	1	1	1	1
Oc90	7	3	2	3	7	8	4	5
Hhla1	0	0	0	0	0	0	0	0
Kcnq3	0	0	2	0	0	0	0	0
Lrrc6	0	0	0	0	0	0	0	0
Tmem71	0	0	0	0	0	0	0	0
Phf20l1	210	178	138	154	142	151	88	104
Tg	0	0	0	0	0	1	0	0
Gm17140	0	0	0	0	0	0	0	0
Sla	0	0	0	0	0	0	0	0
Wisp1	17	23	22	19	13	13	17	25
Ndrg1	175	155	163	194	116	170	87	125
Gm17035	0	0	0	0	0	0	0	0
Gm2895	0	0	0	0	0	0	0	0
St3gal1	40	42	14	21	24	31	2	9
Zfat	115	97	75	93	99	93	69	71
Gm10240	186	145	101	218	151	149	79	139
Mir30d	7	5	2	5	4	8	3	3
Gm7125	40	30	31	61	32	37	16	36
Khdrbs3	119	129	78	121	118	102	31	78
Fam135b	1	4	1	0	2	1	1	2
Col22a1	4	1	1	0	1	2	0	0
Gm16308	0	0	0	0	0	0	0	0
Kcnk9	0	0	0	0	0	0	0	0
Trappc9	271	226	165	242	234	277	131	204
Gm3150	41	34	16	44	26	32	12	26
Chrac1	109	90	87	114	89	110	47	79
Eif2c2	4276	3915	2763	3616	3770	4905	2304	2800
Ptk2	717	640	486	638	917	972	408	550
Dennd3	30	12	14	18	21	15	11	17
Slc45a4	803	696	438	684	829	792	387	565
Gpr20	4	1	0	0	0	0	0	0
Ptp4a3	420	290	120	149	230	254	89	92
Gm628	0	0	0	0	0	0	0	0
Gm6569	0	0	0	0	0	0	0	0
Gm7935	385	329	296	443	348	364	249	342
Bai1	13	15	41	67	7	11	18	24
1700016M24Rik	4	0	2	2	5	4	5	0
Arc	220	172	101	163	218	203	143	157
Jrk	216	159	93	160	181	170	71	118
4933427E11Rik	0	0	0	0	0	1	0	0
Psca	0	0	0	0	0	0	0	0
4930572J05Rik	83	58	75	113	49	73	43	67
Slurp1	0	0	0	0	0	0	0	0
Lypd2	0	0	0	0	0	0	0	0
2300005B03Rik	0	0	0	0	0	0	0	0
Lynx1	12	4	3	5	5	6	3	4
Ly6d	1	0	0	0	0	0	0	0
Gm17189	0	1	1	1	2	3	0	0
Ly6k	2	0	1	3	9	2	2	3
Gml	0	0	0	0	0	0	0	0
Hemt1	0	0	0	0	0	0	0	0
Cyp11b1	0	0	0	0	0	0	0	0
Cyp11b2	0	0	0	0	0	0	0	0
2010109I03Rik	0	0	0	0	0	0	0	0
Ly6e	1105	897	783	1342	963	1204	697	1024
Ly6i	0	0	0	0	0	0	0	0
Ly6a	413	247	205	313	572	635	328	475
Ly6c1	47	22	11	14	44	41	12	12
Ly6c2	18	10	1	4	24	19	1	2
Ly6g	0	0	0	0	0	0	0	0
BC025446	0	0	0	0	0	0	0	0
Gm10238	0	0	0	0	0	0	0	0
Ly6f	0	0	0	0	0	2	0	0
9030619P08Rik	0	0	0	0	0	0	0	0
Gm20654	0	0	0	0	0	0	0	0
Ly6h	0	0	0	0	0	0	1	0
Gpihbp1	0	0	0	0	0	0	0	0
Zfp41	332	290	221	336	305	301	182	259
Top1mt	47	42	14	32	43	40	13	28
Gm15945	0	0	0	0	0	0	0	0
Rhpn1	6	5	8	15	4	2	6	10
Mafa	4	5	2	2	13	5	2	4
Zc3h3	162	136	100	134	162	186	92	98
Gsdmd	20	14	9	18	14	26	12	17
Naprt1	204	113	167	202	189	178	158	174
Eef1d	1712	1227	1224	2165	1424	1543	977	1418
Pycrl	134	122	157	217	108	114	95	126
Tsta3	312	278	279	422	300	296	168	302
Zfp623	176	132	122	193	149	112	61	97
Zfp707	60	51	48	86	39	41	38	42
Mapk15	7	9	8	6	7	7	6	2
Fam83h	263	180	139	170	162	153	75	76
Scrib	1004	920	770	1050	926	1013	605	765
Puf60	1426	1075	984	1442	1267	1268	777	1061
Nrbp2	4	4	10	6	2	7	5	9
BC024139	0	0	0	0	0	0	0	0
Plec	2804	2433	1687	2285	2447	3094	1473	1654
Parp10	23	17	7	11	26	39	3	6
Grina	70	50	39	67	47	45	29	36
Spatc1	0	0	0	1	0	0	0	0
Gm10345	0	1	2	7	0	2	4	1
Oplah	148	107	102	153	121	111	76	95
Exosc4	273	230	212	339	216	248	185	235
Gpaa1	282	257	272	371	278	311	223	258
Rps6-ps1	401	288	218	480	312	335	179	294
Cyc1	1238	998	1150	1870	1014	1099	852	1282
Sharpin	125	113	108	158	127	171	113	125
